,NMESES_DEUDA_NOR100_1M,MAX_NRO_CUOTAS_AM_8D_ATRASO_3M,AVG_DEUDA_NOR_12M,MAX_NRO_CUOTAS_AM_15D_ATRASO_3M,MAX_NRO_CUOTAS_AM_8D_ATRASO_1M,MAX_DA_VIGENTE_RCC_3M,MAX_NRO_CUOTAS_AM_15D_ATRASO_1M,NMESES_DEUDA_NOR100_12M,MAX_DEUDA_CPP_3M,CALIF_VIGENTE_RCC_1M,MAX_DEUDA_NOR_3M,TARGET_COBRANZA
2726,1.0,0.0,84.61539,0.0,0.0,3.0,0.0,11.0,0.0,0.0,100.0,0
2727,1.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,0
2728,1.0,0.0,92.30769,0.0,0.0,6.0,0.0,12.0,0.0,0.0,100.0,0
2729,1.0,0.0,73.59538,0.0,0.0,0.0,0.0,8.0,0.0,0.0,100.0,0
2730,0.0,0.0,90.11077,0.0,0.0,20.0,0.0,11.0,28.56,1.0,100.0,1
2731,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2732,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2733,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2734,1.0,2.0,92.30769,1.0,0.0,3.0,0.0,12.0,0.0,0.0,100.0,0
2735,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2736,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2737,0.0,1.0,77.13154,1.0,1.0,6.0,1.0,5.0,29.76,0.0,72.6,1
2738,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2739,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2740,0.0,2.0,80.699234,2.0,0.0,25.0,0.0,8.0,0.0,0.0,83.03,0
2741,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2742,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2743,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2744,0.0,0.0,46.153847,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1
2745,1.0,1.0,92.30769,1.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2746,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2747,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2748,1.0,3.0,92.30769,2.0,1.0,8.0,1.0,12.0,0.0,0.0,100.0,0
2749,1.0,0.0,100.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,100.0,0
2750,1.0,3.0,85.14077,1.0,1.0,9.0,1.0,11.0,93.17,0.0,100.0,0
